Subject,Agency,Solicitation #,Date,Year,Description
PRIMER COATING,General Services Administration,6FER-B5-99-MPN-B-PY920-9,0623,99,"The General Services Administration has a Simplified Acquisition requirement for 125 Kits of National Stock Number 8010-01-434-2121, Primer Coating. This item is In Accordance With Sigma Coatings, Inc. Sigmaguard BT Primer 7404. The color is a Gloss Green. The kit is a kit consisting of base compound and curing agent component to equal 15.1 liters (4 gallons) of mixed coating. Please contact Dan Perkins at (816) 823-1717 for further information on how to quote on this item."
EPOXY PRIMER COATINGS,General Services Administration,6FER-B5-998029-S,0520,99,"The General Services Administration has a Presolicitation Notice that will be issued on or about May 20, 1999, for FSC 8010 - Epoxy Primer Coatings. This notice is for five (5) National Stock Numbers and will include applicable Item Purchase Descriptions and Technical Descriptions. The response to the Presolicitation Notice will be due on June 18, 1999. The Solicitation will issue on or about August 9, 1999. The Solicitation will result in a Firm-Fixed price, Indefinite Delivery 2-Year Contract with 3-One Year Options. This Solicitation will include an Economic Price Adjustment Clause. Firms interested in bidding should download the Pre-Invitation Notice (PIN) and the Vendor Market Survey posted on the Internet at http://eps.gov and return the completed market survey to this office and the attention of Dan Perkins, FAX (816) 926-3678."
REPOSTING OF SOLICITATION 6FER-B8-998305-N,General Services Administration,6FER-B8-998305-N,0517,99,Reposting of Solicitation 6FER-B8-998305-N as previouse posting to the Electronic Posting System (EPS) was incomplete.
8010-COATING COMPOUNDS AND COATING SYSTEMS,General Services Administration,6FER-B9-998080-S,0121,99,"A Pre-Invitation Notice for Solicitation 6FER-B9-998080-S will be issued for Coating Compounds with a response due date of February 5, 1999.  IAW FAR 5.102(a)(7) and 14.205-1(a)(3) this Pre-Invitation Notice/Market Survey will be issued through the Electronic posting system (EPS).  The following NSN's will apply: 8010-01-397-3802 (Coating system, non-skid), 8010-01-397-3804 (Coating system, non-skid), 8010-01-397-3806 (Coating system, non-skid), 8010-01-397-3808 (Coating system, non-skid), 8010-01-397-3810 (Primer coating), 8010-01-397-3812 (Color topping), 8010-01-397-3814 (Color topping), 8010-01-397-3815 (Color topping), 8010-01-397-3820 (Coating system, non-skid), 8010-00-141-7838 (Coating compound, non-slip), 8010-00-141-7842 (Coating compound, non-slip), 8010-00-142-6525 (Coating compound, non-slip), 8010-00-599-9201 (Coating compound, non-slip), 8010-00-641-0426 (Coating compound, non-slip), 8010-00-641-0427 (Coating compound, non-slip), 8010-00-641-0428 (Coating compound, non-slip), 8010-00-641-0429 (Coating compound, non-slip). The General Services Administration (GSA), Federal Supply Service (FSS), Hardware and Appliance Center (HAC), intends to issue a solicitation electronically through the Electronic Posting System (EPS) on or about February 26, 1999.  This procurement will be a two year fixed price contract with three 1-year options and Economic Price Adjustment. Vendors interested in submitting an offer must download 6FER-B9-998080-S by accessing the Electronic Posting System on internet at http://eps.arnet.gov.  Hard copies of this solicitation will not be provided by the Government."
"PIN/MARKET SURVEY, ANTIFOULING PAINT",General Services Administration,6FER-D5-988070-N,0304,99,"Pre-Invitation Notice/Market Survey for 6FER-D5-988070-N, antifouling paint, anticorrision paint and ablative coatings will be issued on or about 3/4/99 through the Electronic Posting System (EPS).  EPS may be accessed throught the Internet at http://www.eps/gov.  If you are interested in receiving a copy of the PIN/Market Survey, but are unable to access the EPS, written requests should be sent ""FAX ONLY"" to (816) 926-3678, ATTN:  Cheryl Sharp (6FERP-D5)."
8040-ADHESIVES/SEALANTS,General Services Administration,6FER-D7-998405-N,0510,99,"Solicitation 6FER-D7-998405-N will be issued on or about May 12, l999, for 29 NSN's for FSC 8040, Adhesives.  The contract period  will be 2-years with three 1-year options.  It will be a Firm fixed requirements contract with Economic Price Adjustment.  The NSN's are in accordance with Military Specifications MIL-A-46l06A and MIL-A-46146B.  This Solicitation will be available on the Electronic Posting System (EPS), which can be accessed through Internet at address http://www.eps.gov.  INTERESTED OFFERORS ARE RESPONSIBLE FOR DOWNLOADING THE SOLICITATION.  THE BID CLOSING IS MAY 27, 1999 AT 2:00 P.M.  OFFERS RECEIVED AT THE ADDRESS SPECIFIED FOR THE RECEIPT OF OFFERS AFTER THE EXACT TIME SPECIFIED FOR RECEIPT OF OFFERS WILL NOT BE CONSIDERED.   The solicitation will contain 14 stock items, FOB Destination delivery to GSA Distribution Centers and/or military depots and l5 non-stock NSN's for direct delivery.  The stock NSN's are:  8040-00-118-2695, 8040-00-142-9823, 8040-00-225-4548, 8040-00-701-9546, 8040-00-833-9563, 8040-00-843-0802, 8040-00-851-0211,"
80--ADHESIVES AND SEALANTS,General Services Administration,6FER-G2-998316-N,0319,99,A Pre-Solicitation Notice/Market Survey for Solicitation
6FER-N2-MPN-E-M4186-9,General Services Administration,6FER-N2-MPN-E-M4186-9,0629,99,"The General Services Administration has a Simplified Acquisition procurement for 30 KT, National Stock Number 8030-01-432-9544 - Sealing Compound.  This item is in accordance with Military Specification MIL-S-8802F dated March 1990, plus Amendment No. 4, dated January 20, 1995.  QPL QUALIFICATION REQUIRED.  Interested parties may furnish a quote via fax or e-mail.  The Item Purchase Description and request for quotations may be downloaded from the internet address: http://www.eps.gov.  A quote in FOB Destination terms is preferred.  If you have questions concerning this procurement, please contact Jeani Ray at (816) 926-7173."
80--ADHESIVES,General Services Administration,6FERS-D7-998405-N,0319,99,A Pre-Solicitation Notice/Market Survey for Solicitation
51--HAND TOOLS,General Services Administration,6FES-99-7800-E8-I,0421,99,"Various NSN's, Blanket Purchase Agreement, Item's- Screwdrivers, Cross Tip, Screwdrivers Flat Tip, Bit Screwdrivers, Screwdriver Sets, Key Set socket Head Screwdrivers. Minimum $ amount is $25.00, Maximum $ amount is $25,000, Clause 552.225-71 Notice of Procurement Restrictions - Hand & Measuring Tools or Stainless Steel Flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Perion of Agreement is for 5 years, with the effective date of 06/04/99 or Date of Award whichever is later, through 06/03/04. See BPA Attached."
51--BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-7810-E8-I,0327,99,"Various NSN's, Blanket Purchase Agreement, Item's - Screwdriver, Cross Tip, Screwdriver, Flat Tip, Bit Screwdriver, Screwdriver Sets, Key Set Socket Head Screwdriver. Minimum $ amount is $25.00, Maximum $ amount is $25,000, Clause 552.225-71 Notice of Procurement Restrictions - Hand & Measuring Tools or Stainless Steel Flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted. Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 Years, with the effective date of 05/15/99 or Date of award whichever is later, Through 05/14/04. See BPA Attached."
51--BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-7820-E8-I,0327,99,"Various NSN's, Blanket Purchase Agreement, Item's - Screwdriver, Cross Tip, Screwdriver, Flat Tip, Bit Screwdriver, Screwdriver Sets, Key Set Socket Head Screwdriver. Minimum $ amount is $25.00, Maximum $ amount is $25,000, Clause 552.225-71 Notice of Procurement Restrictions - Hand & Measuring Tools or Stainless Steel Flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted. Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 Years, with the effective date of 05/15/99 or Date of award whichever is later, Through 05/14/04. See BPA Attached."
51--HAND TOOLS,General Services Administration,6FES-99-7870-E2-I,0510,99,"Various NSN's, Blanket Purchase Agreement, Item's- Spoon, Tacker, Burnisher, Shovel, Tool Kit's, Puller Kit's. Minimum $ amount is $25.00, Maximum $ amount is $25,000, Clause 552.225-71 Notice of Procurement Restrictions - Hand & Measuring Tools or Stainless Steel Flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 06/25/99 or Date of Award whichever is later, through 06/24/04. See BPA Attached"
BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-7885B-E1-I,0629,99,"Various NSN's, Blanket Purchase Agreement, Item's- Masonry Tools.  Minimum $ amount is $20.00, Maximum $ amount is $25,000. Clause 552.25-71 Notice of Procurement Restrictions-Hand & Measuring tools or Stainless Steel flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 08/09/99 or date of Award whichever is later, through 08/08/04.  See BPA Atteched."
BLANKET PURCHASE AGREEMENT/FILE & CHISEL,General Services Administration,6FES-99-7910-E1-I,0921,99,"Various NSN's, Blanket Purchase Agreement, Item's-FILES/BLADES/CHISELS. Minimum $ amount is $20.00, Maximum $ amount is $25,000. Clause 552.25-71 Notice of Procurement Restrictions-Hand & Measuring tools or Stainless Steel flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 11/04/99 or date of Award whichever is later, through 11/03/04.  See BPA Attached."
BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-9050-E1-I,0810,99,"Various NSN's, Blanket Purchase Agreement, Item's-INSERTERS & REMOVERS. Minimum $ amount is $20.00, Maximum $ amount is $25,000. Clause 552.25-71 Notice of Procurement Restrictions-Hand & Measuring tools or Stainless Steel flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 09/27/99 or date of Award whichever is later, through 09/26/04.  See BPA Attached."
BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-9120-E1-I,0827,99,"Various NSN's, Blanket Purchase Agreement, Item's-Hand Tools. Minimum $ amount is $20.00, Maximum $ amount is $25,000. Clause 552.25-71 Notice of Procurement Restrictions-Hand & Measuring tools or Stainless Steel flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 10/14/99 or date of Award whichever is later, through 10/13/04 , see BPA Attached."
BLANKET PURCHASE AGREEMENT,General Services Administration,6FES-99-9130-E1-I,0827,99,"Various NSN's, Blanket Purchase Agreement, Item's-Hand Tools. Minimum $ amount is $20.00, Maximum $ amount is $25,000. Clause 552.25-71 Notice of Procurement Restrictions-Hand & Measuring tools or Stainless Steel flatware applied to the Blanket Purchase Agreement, Only Domestic End Products will be accepted, Delivery Time for all NSN's is 30 Days after receipt of order, Period of Agreement is for 5 years, with the effective date of 10/14/99 or date of Award whichever is later, through 10/13/04 , see BPA Attached."
PAINT REMOVER,General Services Administration,6FES-99-B5-MPN-B-JV864-9,0513,99,"The General Services Administration has a Simplified Acquisition procurement requirement for 52 Drums of National Stock Number 8010-01-369-2646, Paint Remover. This item is In Accordance With McGean-Rohco, Inc. Product Number Cee Bee E-1058. This is not an ""or equal"" procurement. The material furnished must be the referenced product number. This material is used for the removal of polysulfide primers. Interested parties may furnish a quote via fax or e-mail. When furnishing a quote, please be sure to include the following information:  Unit Price, Delivery Time, F.O.B. Terms, Discount Terms, Business Size, and How Long The Quote Is Good.  There are a total of three different orders with 32 Drums going to Jacksonville, FL., and the remaining 20 Drums going to Robins AFB, GA. A quote in F.O.B. Destination Terms is preferred. Please call Dan Perkins at (816) 823-1717, if you have any questions concerning this procurement."
"HAMMERS, HAND WITH FIBERGLASS, STEEL AND WOOD HANDLES",General Services Administration,6FES-B3-980224,0209,99,"Presolicitation Notice will be issued on or about February 9 1999, for FSC 5120 - Hammers, Hand, 17 NSNs.  Item"
"HAMMERS, HAND, WITH FIBERGLASS, STEEL AND WOOD HANDLES",General Services Administration,6FES-B3-980224-S,0519,99,"5120 Hammers, Hand, with Fiberglass, Steel and Wood Handles."
FSC 5120 - WRENCHES AND VARIOUS ATTACHMENTS,General Services Administration,6FES-B8-980166-S,0730,98,"Pre-Invitation Notice/Market Survey for 6FES-B8-980166-S is hereby modified as follows:  IAW FAR 5.102(a)(7) and 14.205-1(a)(3) this Pre-Invitation Notice/Market Survey will be issued on or about 07/30/98 through the Electronic Posting System (EPS).  If you are interested in receiving a copy of the PIN/Market Survey, but are unable to access the EPS, written requests should be sent by ""FAX ONLY"" to (816)926-3678, ATTN: Kathy VanNatta (6FESN-B8)."
VARIOUS VISES AND ACCESSORIES,General Services Administration,6FES-D4-990004-S,0216,99,"A Pre-Solicitation Notice/Market Survey for Solicitation 6FES-D4-990004-S will issue for vendors interested in supplying the following items for stock replenishment of GSA warehouses in the continental United States. The National Stock Numbers and the estimated one year quantities for the vises and accessories involved are: Item 1. 5120-00-221-1114 estimated quantity 78; Item 2. 5120-00-243-1372 estimated quantity 774; Item 3. 5120-00-221-1119 estimated quantity 248; Item 4. 5120-00-188-1182 estimated quantity 473; Item 5. 5120-00-223-1951 estimated quantity 233; Item 6. 5120-00-243-9072 estimated quantity 438; Item 7. 5120-00-293-0110 estimated quantity 180; Item 8. 5120-00-293-1439 estimated quantity 522; Item 9. 5120-00-221-1117 estimated quantity 195; Item 10. 5120-00-223-1945 estimated quantity 190; Item 11. 5120-00-221-1108 estimated quantity 68; Item 12. 5120-00-892-4952 estimated quantity 68; Item 13. 5120-00-991-1907 estimated quantity 576. There will be no guaranteed minimums under this contract.  The descriptions are in accordance with Commerical Item Descriptions and GSA Purchase Descriptions. Anticipated contract will be an indefinite delivery, indefinite quantity, fixed price with EPA clause, stock contract for a two year base period with 3 one year options. This procurement will be full and open competition. The anticipated pre-solicitation notice/market survey issue date is 2/16/99 with an anticipated solicitation issue date of 5/5/99. The notices will be sent via Electronic Posting System. Any questions regarding this procurement may be addressed to Earl Goulas at (816)823-1740."
6FES-F6-990079-S,General Services Administration,6FES-F6-990079-S,0428,99,"FSC 5110 Scissors and Shears,, 1 year stock, fixed price with economic price adjustment, sealed bid with 4 one-year options, period at /or around 11/99 through 10/2000, (w/4/1 year options).  Their are 26 line items which have federal specificaations, GSA descriptions, Technical descriptions, AMSE B107.16 and Brand Name items.  Pre-invitation notice / Market Survey for the aforementioned will be issued on or about 4/28/99 through the electronic posting system (EPS) which may be accessed throught the internet at http://www.eps/gov."
"FILES, RASPS, AMERICAN PATTERN",General Services Administration,6FES-F8-980040-S,0806,98,"Solicitation 6FES-F8-980040-S is for FSC 5110, Files, Rasps, American Pattern.  This solicitation will consist of the following items:  5110-00-234-6528, Hand File, est. 2 yr. Qty of 2952 each, 5110-00-234-6539, Hand File, est. 2 yr. Qty of 4842 each, 5110-00-249-2850, Hand File, est. 2 yr. Qty of 12,612 each, 5110-00-203-4935, Hand File, est. 2 yr. Qty of 7680 each, 5110-00-234-6534, Hand File, est. 2 yr. Qty of 5040 each, 5110-00-241-9135, Hand File, est. 2 yr. Qty of 6996 each, 5110-00-241-9138, Hand File, est. 2 yr. Qty of 3960 each, 5110-00-234-6553, Hand File, est. 2 yr. Qty of 4224 each, 5110-00-233-7683, Hand File, est. 2 yr. Qty of 2772 each, 5110-00-249-2858, Hand File, est. 2 yr. Qty of 2772 each, 5110-00-241-9151, Hand File, est. 2 yr. Qty of 5616 each, 5110-00-241-9153, Hand File, est. 2 yr. Qty of 5412, 5110-00-241-9149, Hand File, est. Qty of 7608 each, 5110-00-234-6550, Hand File, est. Qty of 9276 each, 5110-00-234-6551, Hand File, est. 2 yr. Qty of 10,644 each, 5110-00-892-5943, Hand File, est. 2 yr. Qty of 500 each, 5110-00-233-9722, Hand Rasp, est. Qty of 3600 each, and 5110-00-595-8317, Hand File Set, est. 2 yr. Qty of 6975 set.  The items are in accordance with Commercial Item Descriptions (CIDs), Military Specifications, Federal Specifications, American Society for Testing and Material (ASTM), and American National Standards, Institute, Inc./American Society of Quality Control (ANSI/ASQC).  The solicitation will issue on or about 08-18-98 and close on 09-17-98 at 2:00 P.M. local time.  The contract period will be from 10-01-98 through 9-30-00 with three one year options and have an economic price adjustment clause.  The Notice of Procurement Restriction applies to all items.  The delivery will be 90 days after receipt of order.  If you are interested in bidding, you may access the solicitation on the Electronic Posting System under http://eps.arnet.gov/."
"5110 AND 5120 - PLIERS, NIPPERS, RETAINING RING PLIERS, AND WIRE TWISTER PLIERS",General Services Administration,6FES-G6-990222-S,0209,99,"The General Services Administration (GSA), Federal Supply Service (FSS), Hardware and Appliances Center (HAC), intends to issue solicitation number 6FES-G6-990222-S on or about April 15, 1999.  This solicitation will include approximately 23 National Stock Numbers (NSNs) consisting of Pliers, Nippers, Retaining Ring Pliers, and Wire Twister Pliers.  Item Purchase Descriptions (IPDs) are in accordance with Commercial Item Descriptions (CIDs), American Society of Mechanical Engineers (ASME), GSA Item Purchase Descriptions (IPDs), and American National Standards Institute (ANSI).  The items included in this solicitation are covered under the stock program.  Bar code marking and source inspection will be required. This is a requirements type, firm, fixed-price stock contract with an Economic Price Adjustment. The contract period for this requirement is 10/01/99 through 09/30/01. There will be three 1-year options to extend the contract. This solicitation will be issued using the Electronic Posting System (EPS)."
WRENCHES AND VARIOUS ATTACHMENTS,General Services Administration,6FES-G8-980166-S,1208,98,"Solicitation 6FES-G8-980166-S will issue on or about December 18, 1998.  This solicitation will cover approximately 48 NSN's consisting of wrenches and various attachments.  Approximately 12 of these items will be set aside for small business.  IPD's are in accordance with various Federal and Interim Federal Specifications, ASME, CIDS and one drawing.  The items covered by this solicitation are for the stock program.  Bar code marking and source inspection will be required.  The anticipated contract(s) awarded will be for a requirements type two year term with three option years and Economic Price Adjustment provision.  This solicitation will issue over the Electronic Posting System (EPS).  Vendors wishing to submit a bid on this solicitation should request a copy of the drawing via fax to Claudine Dalton or Alan Basler at fax number (816)823-3109.  FOB Destination will be required."
METRIC FLAT/BOX & OPEN WRENCHES,General Services Administration,6FES-G9-980192,0826,98,Pre-solicitation Notice (PIN)/Market Survey for FSC 5120 Metric
MICROMETER TORQUE WRENCHES,General Services Administration,6FES-K0-980194-N,0827,98,"A Stock, Fixed Price, Requirements type solicitation will be issued on August 27, 1998 for Micrometer Torque Wrenches, which will include the following 20 National Stock Numbers (NSN):"
51 - HAND AND POWER TOOLS,General Services Administration,6FES-K9-980214-S,1002,98,"DESC: This solicitation notice is for hand and power tools.   This notice consist of seventeen (17) national stock number:  (1) 5130-00-345-1179 (Gun, Sealant Injection) with an estimated 2 year quantity of 305.  (2) 5130-01-029-8042 (Scaler, Needle Type, Pneumatic) with an estimated 2 year quantity of 1570.  (3)  5130-01-029-8043 (Scaler, Needle Type, Pneumatic) with an estimated 2 year quantity of 1548.   (4)  5130-01-284-3063 (Drill, Electric, Portable) with an estimated 2 year quantity of 19500.  (5) 5130-01-306-8384 (Screwdriver, Cordless) with an estimated 2 year quantity of 11542.  (6) 5130-00-990-2874 (Nutrunner and Screwdriver, Pneumatic) with an estimated 2 year quantity of 90.  (7) 5130-00-964-9444 (Driver, Jobolt, Pneumatic) with an estimated 2 year quantity of 108.  (8) 5130-00-677-7439 (Gun, Sealant, Pressure) with an estimated 2 year quantity of 54.  (9) 5130-00-596-4506 (Gun, Rivet Pin (Riveter, Pneumatic) with and estimated 2 year quantity of 40.  (10) 5130-00-065-2711 (Regulator) with an estimated 2 year quantity of 3048.  (11) 5130-00-177-6876 (Riveter, Blind, Pneumatic) with an estimated 2 year quantity of 518.  (12) 5130-00-184-1426 (Wrench, Impact, Pneumatic) with an estimated 2 year quantity of 502.  (13) 5130-00-965-9876 (Scaler, Needle Type, Pneumatic) with an estimated 2 year quantity of 2080.  (14) 5130-00-893-5536 (Angle Attachment, Drill Chuck) with an estimated 2 year quantity of 496.  (15) 5130-00-506-4854 (Angle Attachment, Drill Chuck, and Adapter) with an estimated 2 year quantity of 186.  (16) 5130-00-289-8163 (Angle Attachment, Drill Chuck) with an estimated 2 year quantity of 300.  (17) 5130-00-880-3543 (Brush, Wire, Rotary End) with an estimated 2 year quantity of 4436.  This response is due 9/25/98.  The solicitation will be issued on October 9, 1998.  The contract period for this solicitation will begin  on  March 1, 1999.  The solicitation will result in a two year contract with three one year options.  The solicitation will also contain economic price adjustment clause.  Firms interested in bidding MUST place their request in writing.  The request may be faxed to (816) 926-3678, Attention:  Angela K. Kittrell."
ABRASIVE GRAIN (PLASTIC MEDIA),General Services Administration,7FXI-E7-99-5346-S-FSC53,0114,99,SQ FOR THE PERIOD 3-1-99/2-28-2000
MOBILITY SHELTERS,General Services Administration,7FXMC-5410-G4,1130,99,"REQUEST DESTINATION PRICING FOR MOBILILTY SHELTER UNITS,"
PC COMPATIBLE ELECTRONIC COPYBOARD,General Services Administration,7TF-00-0003,1017,99,"17(i). This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6, the test program in FAR Subpart 13.5, and FAR Part 15, as supplemented with additional information included in this notice.  This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued!!"
"PROVIDE SIEMENS MAGIC VIEW EQUIPMENT FOR LANSTUHL REGIONAL MEDICAL CENTER (LRMC), LANDSTUHL, GERMANY",General Services Administration,7TF-99-0030,0921,99,"17(i). This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6, the test program in FAR Subpart 13.5, and FAR Part 15, as supplemented with additional information included in this notice.  This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued!!"
MAINTENANCE AND SUPPORT SERVICES FOR MICRO SUPER MAGNETIC ENERGY STORAGE (SMES) DEVICES,General Services Administration,7TF-99-0033,0920,99,"17(i). This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6, the test program in FAR Subpart 13.5, and FAR Part 15, as supplemented with additional information included in this notice.  This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued!!"
